Facility ID,Facility Name,City/Town,State,Number of Completed Surveys,Survey Response Rate Percent,Year,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness,Rating Score,Recommendation,State Name,Region,Division
010128,JACKSON MEDICAL CENTER,JACKSON,AL,59,31,2023,94,91,92,74,87,84,95,87,90,88,Alabama,South,East South Central
010129,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,295,20,2023,92,91,87,83,90,82,90,86,89,87,Alabama,South,East South Central
010130,ST VINCENT'S ST CLAIR,PELL CITY,AL,371,32,2023,94,92,89,80,90,83,88,84,92,92,Alabama,South,East South Central
010131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,1292,22,2023,86,89,76,71,82,77,81,83,83,83,Alabama,South,East South Central
010139,BROOKWOOD BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,1051,17,2023,89,91,77,71,83,79,80,82,84,82,Alabama,South,East South Central
010144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,1856,27,2023,89,91,82,77,87,81,78,83,87,88,Alabama,South,East South Central
010148,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,193,23,2023,92,97,82,82,89,80,87,89,88,87,Alabama,South,East South Central
010149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,1999,28,2023,90,91,83,76,88,81,86,82,89,91,Alabama,South,East South Central
01014F,BIRMINGHAM VA MEDICAL CENTER,BIRMINGHAM,AL,480,23,2023,90,93,85,78,84,82,85,86,89,87,Alabama,South,East South Central
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,AL,83,19,2023,92,95,88,86,84,79,84,88,88,85,Alabama,South,East South Central
010158,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,119,18,2023,91,96,87,79,87,82,91,88,89,87,Alabama,South,East South Central
010164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,341,19,2023,88,91,81,74,88,80,83,85,86,84,Alabama,South,East South Central
010168,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,335,36,2023,94,93,91,85,87,85,87,93,94,93,Alabama,South,East South Central
010169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,150,30,2023,93,95,90,87,89,84,88,91,90,87,Alabama,South,East South Central
010173,ST VINCENT'S CHILTON,CLANTON,AL,147,31,2023,95,96,94,90,91,86,91,91,94,94,Alabama,South,East South Central
010175,EAMC-LANIER,VALLEY,AL,54,14,2023,94,92,88,73,85,81,83,88,89,87,Alabama,South,East South Central
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,MONTGOMERY,AL,165,22,2023,91,94,79,79,81,80,84,90,86,82,Alabama,South,East South Central
011300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,58,18,2023,94,91,94,94,75,85,93,91,92,91,Alabama,South,East South Central
011302,RED BAY HOSPITAL,RED BAY,AL,59,26,2023,99,99,92,81,93,86,99,95,93,95,Alabama,South,East South Central
011304,CHOCTAW GENERAL HOSPITAL,BUTLER,AL,59,39,2023,94,92,94,84,84,84,96,87,92,95,Alabama,South,East South Central
011305,ST VINCENTS BLOUNT,ONEONTA,AL,143,31,2023,96,95,96,86,90,84,94,89,94,92,Alabama,South,East South Central
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,318,15,2023,92,91,82,78,89,82,86,79,89,91,Alaska,West,Pacific
020006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,670,18,2023,92,90,84,78,89,80,89,85,88,88,Alaska,West,Pacific
020008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,170,20,2023,91,92,88,76,85,82,88,84,90,90,Alaska,West,Pacific
020012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,346,14,2023,90,90,87,77,88,80,89,81,88,88,Alaska,West,Pacific
020017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,433,19,2023,90,88,82,73,86,79,84,81,85,84,Alaska,West,Pacific
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99,23,2023,88,88,84,80,81,75,80,80,86,84,Alaska,West,Pacific
020024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,403,19,2023,90,92,80,76,88,82,85,83,87,89,Alaska,West,Pacific
020026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,662,12,2023,86,88,80,75,81,77,84,75,84,84,Alaska,West,Pacific
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),JBER,AK,183,30,2023,96,94,88,87,94,88,87,85,92,90,Alaska,West,Pacific
02014F,Bassett ACH (FT Wainwright),Fort Wainwright,AK,106,27,2023,94,95,89,87,92,85,94,88,88,85,Alaska,West,Pacific
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,57,17,2023,93,94,91,79,92,84,93,83,91,94,Alaska,West,Pacific
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,117,17,2023,94,93,87,85,86,81,92,87,90,88,Alaska,West,Pacific
021313,SOUTH PENINSULA HOSPITAL,HOMER,AK,106,19,2023,94,95,90,84,90,83,90,84,91,92,Alaska,West,Pacific
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,1055,25,2023,88,89,81,75,84,78,82,78,87,86,Arizona,West,Mountain
030006,TUCSON MEDICAL CENTER,TUCSON,AZ,4805,20,2023,89,88,78,73,83,78,78,70,86,87,Arizona,West,Mountain
030007,VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,727,27,2023,91,90,86,73,85,80,88,83,87,85,Arizona,West,Mountain
030010,ST. MARY'S HOSPITAL,TUCSON,AZ,1065,21,2023,86,87,76,69,81,75,80,75,80,78,Arizona,West,Mountain
030011,ST JOSEPH'S HOSPITAL,TUCSON,AZ,1041,19,2023,86,86,74,66,81,75,80,73,80,78,Arizona,West,Mountain
030012,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,801,25,2023,89,87,83,71,83,76,82,73,83,83,Arizona,West,Mountain
030013,YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,434,16,2023,88,87,78,69,82,79,91,81,83,82,Arizona,West,Mountain
030014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,PHOENIX,AZ,357,20,2023,90,90,81,76,84,82,87,76,88,89,Arizona,West,Mountain
030016,BANNER CASA GRANDE MEDICAL CENTER,CASA GRANDE,AZ,677,22,2023,87,88,75,72,83,78,82,77,83,81,Arizona,West,Mountain
030022,VALLEYWISE HEALTH MEDICAL CENTER,PHOENIX,AZ,573,7,2023,88,89,76,74,86,80,74,71,84,82,Arizona,West,Mountain
030023,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,585,22,2023,90,91,84,76,85,81,81,79,88,88,Arizona,West,Mountain
030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,1135,16,2023,91,90,82,78,86,81,86,80,90,90,Arizona,West,Mountain
030030,ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,390,11,2023,82,81,76,65,76,70,82,76,77,71,Arizona,West,Mountain
030036,CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,AZ,647,19,2023,91,87,84,73,89,80,83,79,87,87,Arizona,West,Mountain
030037,TEMPE ST LUKES HOSPITAL,TEMPE,AZ,192,10,2023,87,88,76,71,80,77,84,78,83,79,Arizona,West,Mountain
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,SCOTTSDALE,AZ,448,21,2023,92,89,84,77,86,80,83,79,90,89,Arizona,West,Mountain
030043,CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,685,22,2023,89,87,77,70,84,76,82,83,84,80,Arizona,West,Mountain
030055,KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,AZ,563,21,2023,87,86,79,71,85,75,84,76,82,81,Arizona,West,Mountain
030061,BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ,701,22,2023,86,86,79,68,83,78,76,69,83,82,Arizona,West,Mountain
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ,458,17,2023,90,87,83,74,83,77,85,78,86,84,Arizona,West,Mountain
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,TUCSON,AZ,916,21,2023,87,88,79,76,85,79,82,78,85,85,Arizona,West,Mountain
030065,BANNER DESERT MEDICAL CENTER,MESA,AZ,911,20,2023,86,86,74,71,83,76,77,74,82,81,Arizona,West,Mountain
030069,HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CITY,AZ,974,27,2023,87,85,79,69,80,74,76,78,80,76,Arizona,West,Mountain
030071,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,132,11,2023,89,87,82,75,84,80,87,82,87,84,Arizona,West,Mountain
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,240,18,2023,90,91,86,83,85,77,86,80,85,82,Arizona,West,Mountain
030078,PHOENIX INDIAN MEDICAL CENTER,PHOENIX,AZ,169,15,2023,89,92,87,83,90,79,85,88,88,84,Arizona,West,Mountain
030083,ABRAZO SCOTTSDALE CAMPUS,PHOENIX,AZ,587,19,2023,85,85,76,67,79,75,79,77,79,75,Arizona,West,Mountain
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,117,10,2023,84,84,76,70,68,75,77,77,81,73,Arizona,West,Mountain
030085,NORTHWEST MEDICAL CENTER,TUCSON,AZ,1444,24,2023,87,86,78,70,80,75,79,71,81,78,Arizona,West,Mountain
030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,SCOTTSDALE,AZ,505,21,2023,90,91,82,71,84,81,82,76,88,88,Arizona,West,Mountain
030088,BANNER BAYWOOD MEDICAL CENTER,MESA,AZ,577,22,2023,86,84,72,71,85,77,80,75,82,81,Arizona,West,Mountain
030089,BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,935,21,2023,87,87,76,71,82,77,81,77,84,83,Arizona,West,Mountain
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,PHOENIX,AZ,518,22,2023,90,87,77,70,83,78,84,76,86,84,Arizona,West,Mountain
030093,BANNER DEL E. WEBB MEDICAL CENTER,SUN CITY WEST,AZ,653,20,2023,87,86,76,69,84,78,77,74,83,83,Arizona,West,Mountain
030094,ABRAZO ARROWHEAD HOSPITAL,GLENDALE,AZ,1756,20,2023,85,86,75,66,81,75,79,74,80,78,Arizona,West,Mountain
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,BULLHEAD CITY,AZ,808,25,2023,87,84,80,69,78,75,80,76,81,79,Arizona,West,Mountain
030103,MAYO CLINIC HOSPITAL,PHOENIX,AZ,1116,31,2023,95,94,92,82,92,87,89,89,96,97,Arizona,West,Mountain
030105,BANNER HEART HOSPITAL,MESA,AZ,629,26,2023,89,87,79,70,83,80,82,73,86,87,Arizona,West,Mountain
030107,ARIZONA SPINE AND JOINT HOSPITAL,MESA,AZ,419,51,2023,95,93,92,83,93,85,92,86,93,94,Arizona,West,Mountain
030108,THE CORE INSTITUTE SPECIALTY HOSP,PHOENIX,AZ,271,48,2023,91,90,85,73,85,79,88,82,88,88,Arizona,West,Mountain
030110,ABRAZO WEST CAMPUS,GOODYEAR,AZ,797,14,2023,85,86,77,67,78,74,73,73,78,74,Arizona,West,Mountain
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,TUCSON,AZ,539,18,2023,86,88,72,70,85,77,72,73,81,79,Arizona,West,Mountain
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,CHANDLER,AZ,165,44,2023,94,93,91,86,92,86,92,89,93,93,Arizona,West,Mountain
030113,WHITERIVER PHS INDIAN HOSPITAL,WHITERIVER,AZ,184,20,2023,89,92,86,80,83,76,89,79,88,87,Arizona,West,Mountain
030114,ORO VALLEY HOSPITAL,ORO VALLEY,AZ,1229,32,2023,89,87,80,71,84,78,80,77,85,84,Arizona,West,Mountain
030115,BANNER ESTRELLA MEDICAL CENTER,PHOENIX,AZ,858,20,2023,89,89,79,74,84,77,82,82,86,85,Arizona,West,Mountain
030117,VALLEY VIEW MEDICAL CENTER,FORT MOHAVE,AZ,240,18,2023,88,83,84,72,83,77,90,81,85,83,Arizona,West,Mountain
030119,MERCY GILBERT MEDICAL CENTER,GILBERT,AZ,719,18,2023,91,88,84,77,88,81,87,83,89,90,Arizona,West,Mountain
030121,"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,1009,20,2023,86,86,75,70,81,76,77,80,81,78,Arizona,West,Mountain
030122,BANNER GATEWAY MEDICAL CENTER,GILBERT,AZ,641,19,2023,89,89,81,73,85,80,82,80,87,88,Arizona,West,Mountain
030123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,SCOTTSDALE,AZ,373,31,2023,91,91,83,77,89,83,83,86,91,93,Arizona,West,Mountain
03012F,PHOENIX VA MEDICAL CENTER,PHOENIX,AZ,461,27,2023,89,90,82,77,84,81,80,72,85,82,Arizona,West,Mountain
030130,BANNER IRONWOOD MEDICAL CENTER,QUEEN CREEK,AZ,561,17,2023,88,87,82,73,87,81,86,82,86,86,Arizona,West,Mountain
030131,O.A.S.I.S. HOSPITAL,PHOENIX,AZ,717,50,2023,94,93,90,81,92,84,90,87,94,95,Arizona,West,Mountain
030134,BANNER GOLDFIELD MEDICAL CENTER,APACHE JUNCTION,AZ,152,23,2023,91,89,86,75,87,80,84,80,88,90,Arizona,West,Mountain
030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,LAVEEN,AZ,61,10,2023,91,89,82,69,83,80,93,91,88,81,Arizona,West,Mountain
030138,WESTERN REGIONAL MEDICAL CENTER,GOODYEAR,AZ,107,25,2023,95,94,92,81,91,83,94,89,94,96,Arizona,West,Mountain
030139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,MESA,AZ,430,17,2023,92,87,86,78,84,79,89,87,89,88,Arizona,West,Mountain
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,TUCSON,AZ,453,36,2023,93,93,88,83,86,85,89,81,91,92,Arizona,West,Mountain
030146,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,PHOENIX,AZ,420,18,2023,92,90,87,78,86,83,92,86,91,91,Arizona,West,Mountain
030147,BANNER OCOTILLO MEDICAL CENTER,CHANDLER,AZ,593,19,2023,86,86,77,72,82,77,82,83,84,84,Arizona,West,Mountain
030148,NORTHWEST MEDICAL CENTER SAHUARITA,SAHUARITA,AZ,672,28,2023,89,87,81,73,80,78,80,85,86,85,Arizona,West,Mountain
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,PRESCOTT,AZ,230,35,2023,92,91,89,80,88,84,91,84,91,89,Arizona,West,Mountain
031300,WICKENBURG COMMUNITY HOSPITAL,WICKENBURG,AZ,77,29,2023,94,94,93,76,86,84,86,78,91,92,Arizona,West,Mountain
031301,BENSON HOSPITAL,BENSON,AZ,69,30,2023,92,91,88,87,81,81,87,89,89,91,Arizona,West,Mountain
031304,PAGE HOSPITAL,PAGE,AZ,52,23,2023,92,96,83,88,91,82,75,84,87,86,Arizona,West,Mountain
031311,LITTLE COLORADO MEDICAL CENTER,WINSLOW,AZ,115,18,2023,88,88,87,84,84,80,87,78,87,86,Arizona,West,Mountain
031312,COPPER QUEEN COMMUNITY HOSPITAL,BISBEE,AZ,67,25,2023,95,95,87,88,90,84,95,90,92,94,Arizona,West,Mountain
031313,HOLY CROSS HOSPITAL,NOGALES,AZ,70,8,2023,93,93,85,80,80,80,96,79,86,84,Arizona,West,Mountain
031314,COBRE VALLEY REGIONAL MEDICAL CENTER,GLOBE,AZ,321,34,2023,89,86,87,76,81,78,86,83,86,84,Arizona,West,Mountain
031318,BANNER PAYSON MEDICAL CENTER,PAYSON,AZ,155,20,2023,92,86,89,77,87,80,86,85,88,87,Arizona,West,Mountain
031319,MT. GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,AZ,324,42,2023,92,93,90,82,91,84,91,83,90,90,Arizona,West,Mountain
040001,SILOAM SPRINGS REGIONAL HOSPITAL,FAYETTEVILLE,AR,170,14,2023,90,89,85,74,85,79,89,88,86,85,Arkansas,South,West South Central
040002,JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,181,17,2023,93,94,87,79,86,79,89,89,88,86,Arkansas,South,West South Central
040004,WASHINGTON REGIONAL MEDICAL CENTER,FAYETTEVILLE,AR,560,21,2023,88,90,81,72,83,78,85,83,87,87,Arkansas,South,West South Central
040007,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,740,23,2023,87,90,77,71,81,78,74,81,82,80,Arkansas,South,West South Central
040010,MERCY HOSPITAL NORTHWEST ARKANSAS,ROGERS,AR,544,23,2023,90,90,84,71,84,80,90,82,88,89,Arkansas,South,West South Central
040011,CHAMBERS MEMORIAL HOSPITAL,DANVILLE,AR,192,20,2023,95,96,90,83,82,83,92,93,93,89,Arkansas,South,West South Central
040014,WHITE COUNTY MEDICAL CENTER,SEARCY,AR,635,36,2023,89,91,82,76,87,80,83,83,87,84,Arkansas,South,West South Central
040015,MENA REGIONAL HEALTH SYSTEM,MENA,AR,52,11,2023,92,90,86,76,82,82,82,85,82,85,Arkansas,South,West South Central
040016,UAMS MEDICAL CENTER,LITTLE ROCK,AR,1269,28,2023,90,90,82,79,86,81,81,83,88,90,Arkansas,South,West South Central
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,265,20,2023,90,91,84,78,85,81,94,85,86,83,Arkansas,South,West South Central
040019,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,150,11,2023,90,89,80,78,79,79,83,87,85,84,Arkansas,South,West South Central
040020,ST BERNARDS MEDICAL CENTER,JONESBORO,AR,345,20,2023,89,88,80,72,84,79,80,81,86,86,Arkansas,South,West South Central
040022,NORTHWEST MEDICAL CENTER-SPRINGDALE,SPRINGDALE,AR,1033,15,2023,90,89,82,72,85,79,86,83,86,86,Arkansas,South,West South Central
040026,ST VINCENT HOT SPRINGS,HOT SPRINGS,AR,816,21,2023,91,89,80,75,85,80,84,82,87,88,Arkansas,South,West South Central
040027,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,458,27,2023,91,92,85,73,88,81,77,86,89,89,Arkansas,South,West South Central
040029,"CONWAY REGIONAL MEDICAL CENTER, INC",CONWAY,AR,1151,19,2023,91,92,83,75,84,82,82,84,89,89,Arkansas,South,West South Central
040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,NORTH LITTLE ROCK,AR,1165,16,2023,87,88,77,69,80,76,71,74,81,80,Arkansas,South,West South Central
040039,ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,326,15,2023,87,90,79,74,80,77,84,84,82,79,Arkansas,South,West South Central
040041,ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,578,17,2023,91,90,81,75,85,79,80,80,84,81,Arkansas,South,West South Central
040047,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,65,23,2023,92,91,85,74,83,80,94,88,88,89,Arkansas,South,West South Central
040050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,95,16,2023,92,97,88,83,83,83,90,88,89,90,Arkansas,South,West South Central
040051,DREW MEMORIAL HEALTH SYSTEM,MONTICELLO,AR,218,18,2023,92,97,87,80,81,81,90,87,89,89,Arkansas,South,West South Central
